Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación;mensaje_completo;categoria_predicha;prioridad_predicha
azutaxi;cuenca;solicitud conductor;cliente demoro mucho coji otra carrera;;;;2024-02-29 23:47:54;hashtag;1;solicitud conductor cliente demoro mucho coji otra carrera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;llevó otro cliente;;;;2024-04-03 11:46:49;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cliente pidió taxi y canselo cuando;;;;2024-01-29 10:53:04;hashtag;1;solicitud conductor cliente pidió taxi y canselo cuando;problemas con el viaje;Alta
ktaxi;cuenca;solicitud conductor;se va en otra unidad bloquear a este tipo de clientes;;;;2024-01-24 19:35:48;hashtag;1;solicitud conductor se va en otra unidad bloquear a este tipo de clientes;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;el taxista estaba conduciendo ebrio;;;;2024-01-08 23:08:42;hashtag;1;solicitud cliente el taxista estaba conduciendo ebrio;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;camcela;;;;2024-03-16 01:42:08;hashtag;1;solicitud conductor camcela;otros problemas;Baja
ktaxi;ambato;solicitud conductor;el cliente no esta no responde;;;;2024-01-27 07:51:34;hashtag;1;solicitud conductor el cliente no esta no responde;problemas con el viaje;Alta
lojagas;loja;solicitud cliente;cancelo;;;;2024-04-16 18:28:59;hashtag;1;solicitud cliente cancelo;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-02-19 07:13:51;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;el cliente muy apurado llego en el tiempo asignado;;;;2024-03-01 19:59:47;hashtag;1;solicitud conductor el cliente muy apurado llego en el tiempo asignado;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se ve en otra unidad no espera;;;;2024-03-14 16:53:26;hashtag;1;solicitud conductor se ve en otra unidad no espera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;jeje;;;;2024-03-29 01:44:02;hashtag;1;solicitud cliente jeje;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;no me recogió;;;;2024-02-15 19:15:41;hashtag;1;solicitud cliente no me recogió;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;nunca salio espere 10 minutos;;;;2024-04-22 20:39:02;hashtag;1;solicitud conductor nunca salio espere 10 minutos;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-04-12 01:47:47;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;nunca salio le llame me dijo ya voy y nada le volví a llamar y ya no responde gente mal educada;;;;2024-02-19 18:29:14;hashtag;1;solicitud conductor nunca salio le llame me dijo ya voy y nada le volví a llamar y ya no responde gente mal educada;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;llego y no sale;;;;2024-02-20 19:25:49;hashtag;1;solicitud conductor llego y no sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;;;2024-01-25 23:56:19;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-03-24 19:02:06;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-02-27 12:38:39;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
