Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación
azutaxi;cuenca;solicitud conductor;cliente demoro mucho coji otra carrera;null;null;null;2024-02-29 23:47:54;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-04-03 11:46:49;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente pidió taxi y canselo cuando;null;null;null;2024-01-29 10:53:04;hashtag;1
ktaxi;cuenca;solicitud conductor;se va en otra unidad bloquear a este tipo de clientes;null;null;null;2024-01-24 19:35:48;hashtag;1
azutaxi;cuenca;solicitud cliente;el taxista estaba conduciendo ebrio;null;null;null;2024-01-08 23:08:42;hashtag;1
azutaxi;cuenca;solicitud conductor;camcela;null;null;null;2024-03-16 01:42:08;hashtag;1
ktaxi;ambato;solicitud conductor;el cliente no esta no responde;null;null;null;2024-01-27 07:51:34;hashtag;1
lojagas;loja;solicitud cliente;cancelo;null;null;null;2024-04-16 18:28:59;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-02-19 07:13:51;hashtag;1
azutaxi;cuenca;solicitud conductor;el cliente muy apurado llego en el tiempo asignado;null;null;null;2024-03-01 19:59:47;hashtag;1
azutaxi;cuenca;solicitud conductor;se ve en otra unidad no espera;null;null;null;2024-03-14 16:53:26;hashtag;1
azutaxi;cuenca;solicitud cliente;jeje;null;null;null;2024-03-29 01:44:02;hashtag;1
azutaxi;cuenca;solicitud cliente;no me recogió;null;null;null;2024-02-15 19:15:41;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salio espere 10 minutos;null;null;null;2024-04-22 20:39:02;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-04-12 01:47:47;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salio le llame me dijo ya voy y nada le volví a llamar y ya no responde gente mal educada;null;null;null;2024-02-19 18:29:14;hashtag;1
ktaxi;ambato;solicitud conductor;llego y no sale;null;null;null;2024-02-20 19:25:49;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-25 23:56:19;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-03-24 19:02:06;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-27 12:38:39;hashtag;1
ktaxi;ambato;solicitud conductor;cancela  al llegar;desde web: se notifica a la cliente que debe esperar el tiempo asignado por el conductor;null;null;2024-01-23 14:57:17;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-24 08:01:46;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-04-29 15:13:53;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-15 08:05:02;hashtag;1
azutaxi;cuenca;solicitud conductor;bloquear inmediatamente quieren pagar 15 dólares a gualaceo y me insultan me dicen que soy ratero;null;null;null;2024-04-11 20:40:50;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salió;null;null;null;2024-02-28 23:31:52;hashtag;1
ktaxi;loja;llamada a conductor desde historial;entrega de encomienda;null;-4.022717;-79.205031;2024-03-18 14:09:39;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-13 16:42:53;hashtag;1
azutaxi;cuenca;solicitud conductor;no tienen dinero para pagar;null;null;null;2024-03-23 10:33:17;hashtag;1
azutaxi;cuenca;solicitud cliente;abusivo   actitud desagradable;null;null;null;2024-01-08 20:28:58;hashtag;1
azutaxi;cuenca;solicitud conductor;se va en otro taxi;null;null;null;2024-01-29 06:52:17;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-04-04 12:31:21;hashtag;1
azutaxi;cuenca;solicitud cliente;velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable  canceló solicitud  nunca llegó;null;null;null;2024-01-28 10:45:49;hashtag;1
azutaxi;cuenca;solicitud conductor;no abordo;null;null;null;2024-04-24 09:01:44;hashtag;1
azutaxi;cuenca;solicitud conductor;pesimo cliente hace ir en vano llego y se va en otro taxi no asignada;null;null;null;2024-03-29 00:24:57;hashtag;1
azutaxi;cuenca;solicitud conductor;no espera;null;null;null;2024-04-18 07:51:58;hashtag;1
azutaxi;cuenca;solicitud conductor;pidió taxi y no salió;null;null;null;2024-02-09 18:04:50;hashtag;1
azutaxi;cuenca;solicitud cliente;si    vehículo incorrecto;null;null;null;2024-01-22 01:32:54;hashtag;1
azutaxi;cuenca;solicitud conductor;no contesta mal cliente hace ase venir envano;null;null;null;2024-01-08 03:09:05;hashtag;1
ktaxi;loja;solicitud cliente;pésimo servicio jamás llegó la unidad  nunca llegó;null;null;null;2024-03-03 14:47:26;hashtag;1
ktaxi;loja;solicitud conductor;el cliente dice que le espere pero demora demasiado y no sale;null;null;null;2024-01-13 18:14:34;hashtag;1
azutaxi;cuenca;solicitud conductor;no llevar;null;null;null;2024-04-24 15:30:42;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no sale ni tampoco contesta;null;null;null;2024-04-13 12:29:48;hashtag;1
azutaxi;cuenca;solicitud conductor;pide y no sale;null;null;null;2024-02-27 11:03:01;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-01-11 12:06:50;hashtag;1
azutaxi;cuenca;solicitud conductor;sra muy grosera ..;null;null;null;2024-03-16 20:47:53;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-03-24 12:16:45;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-02-10 15:15:29;hashtag;1
azutaxi;cuenca;solicitud conductor;persona abusiva quiere pagar 1.25 por qué eso marca el taxímetro;null;null;null;2024-04-23 11:33:48;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-01-28 18:16:44;hashtag;1
azutaxi;cuenca;solicitud conductor;se demoran mucho en salir;null;null;null;2024-03-09 21:22:39;hashtag;1
azutaxi;cuenca;solicitud conductor;coje otro taxi;null;null;null;2024-03-03 14:26:59;hashtag;1
azutaxi;cuenca;solicitud conductor;perder tiempo se. va en otra unidad;null;null;null;2024-02-24 11:51:07;hashtag;1
azutaxi;cuenca;solicitud conductor;no responde;null;null;null;2024-02-23 11:13:21;hashtag;1
azutaxi;cuenca;solicitud conductor;mal cliente;desde web: se revisa la carrera y el hsitorial;null;null;2024-04-05 23:53:14;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cancela la solicitud y no contesta el teléfono   pésimo actitud;null;null;null;2024-03-24 03:50:05;hashtag;1
ktaxi;santo domingo;solicitud conductor;llama. taxi constesta el teléfono y nunca sale;desde web: se conversa con conductor sobre la novedad;null;null;2024-02-16 19:28:45;hashtag;1
azutaxi;cuenca;solicitud cliente;pone el taxímetro cuando ella llega no cuando uno se sube a la unidad  actitud desagradable;desde web: caso no relevante, se revisó la bitácora;null;null;2024-04-02 13:27:06;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable  canceló solicitud;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-23 14:09:56;hashtag;1
azutaxi;cuenca;solicitud conductor;no, es taxi ruta disculpe;null;null;null;2024-01-30 17:31:34;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-01-28 13:10:57;hashtag;1
ktaxi;loja;solicitud cliente;todo el trayecto en el celular y llega tarde  actitud desagradable;null;null;null;2024-03-20 20:32:14;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-01-28 11:05:29;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora;null;null;2024-04-22 08:37:00;hashtag;1
ktaxi;loja;pre-registro;#1105589095  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con la app; en contacto se le paso el número de soporte técnico para que escriba;-3.970021;-79.215644;2024-01-03 13:56:25;#contactorevisar# #contacto_conductor_app# #contacto_preregistro_conductor#;0
azutaxi;cuenca;solicitud conductor;me cancelo;null;null;null;2024-04-17 21:50:49;hashtag;1
azutaxi;cuenca;solicitud cliente;mal estado de vehículo;null;null;null;2024-04-10 18:31:41;hashtag;2
clipp;loja;solicitud conductor;el cliente no desea el taxi;null;null;null;2024-01-01 03:55:36;hashtag;1
azutaxi;cuenca;solicitud conductor;mal no quiere pagar;null;null;null;2024-02-04 23:02:42;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-04-23 21:18:50;hashtag;1
azutaxi;cuenca;solicitud conductor;mal cliente solo solicita y pone avorbordo;null;null;null;2024-04-23 18:57:35;hashtag;1
azutaxi;cuenca;solicitud conductor;el cliente pide y llegando al lugar cancela la solicitud;null;null;null;2024-02-10 00:45:35;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-03-27 12:13:12;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-07 22:49:46;hashtag;1
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-04-24 19:23:05;hashtag;1
ktaxi;ambato;solicitud cliente;llevó otro cliente;null;null;null;2024-03-29 12:54:03;hashtag;1
azutaxi;cuenca;taxi;quiero saber como puedo pedir tres taxis a la vez;null;-2.917928;-78.999258;2024-03-28 19:21:41;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;odiosa, hecha la importante y encima no tiene dinero para pagar la carrera;null;null;null;2024-03-08 11:40:53;hashtag;1
unitaxi;quito;reaerva;buen día quiero reservar un taxi para las siete y quince de hoy;null;-0.245708;-78.497621;2024-02-28 06:02:12;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;cliente no salió;null;null;null;2024-02-01 17:23:18;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;desde web: caso no relevante, se revisó la bitácora;null;null;2024-04-07 09:08:03;hashtag;1
azutaxi;cuenca;solicitud conductor;cancelo;null;null;null;2024-02-22 12:42:30;hashtag;1
azutaxi;cuenca;solicitud cliente;mal estado de vehículo;null;null;null;2024-02-23 12:22:40;hashtag;2
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-03 19:12:03;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-05-01 17:53:29;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-02-15 13:49:32;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente nunca salió llama de andrés;null;null;null;2024-05-02 08:37:56;hashtag;1
azutaxi;cuenca;solicitud conductor;pone a bordo;null;null;null;2024-03-29 09:32:02;hashtag;1
ktaxi;ambato;solicitud cliente;conductor con actitud negativa está sin placa el auto ameniza de muerte  actitud desagradable;desde web: se procedio a tomar contacto con el conductor el mismos que supo manifestar que el cliente le trato mal e inclusive que le golpeo la puerta, adicional indico que el estaba con una señora a la que pidiio que le enseñe a compoportarse ya que le falto el respeto al conductor;null;null;2024-01-24 17:40:12;hashtag;1
azutaxi;cuenca;solicitud conductor;pasajero en estado etílico;null;null;null;2024-03-10 02:39:18;hashtag;1
ktaxi;loja;solicitud conductor;mil veces pésimo;null;null;null;2024-01-09 09:02:46;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-01-24 07:54:40;hashtag;1
azutaxi;cuenca;solicitud cliente;muy buena;null;null;null;2024-01-29 15:46:30;hashtag;1
azutaxi;cuenca;solicitud conductor;no sale;null;null;null;2024-03-26 09:33:31;hashtag;1
ktaxi;loja;solicitud conductor;no salio hace perder el tiempo;null;null;null;2024-03-06 07:55:14;hashtag;1
