mensaje_completo,categoria_predicha,prioridad_predicha
"solicitud cliente nunca llegó y no me contestaba los
mensajes , lo odio 0 recomendando … pd3: feliz año !",problemas con el viaje,alta
llamada a conductor desde historial contactar,otros problemas,baja
solicitud cliente uso teléfono hablo/chat,problemas de seguridad,inmediata
solicitud cliente canceló solicitud,problemas con el viaje,alta
solicitud conductor exceso de pasajeros no se atendió solicitud,otros problemas,baja
"solicitud cliente dijo no que era el taxi cuando si era, aplicó pero no quiso llevarme dónde yo necesitaba ir  canceló solicitud",problemas con el viaje,alta
"solicitud conductor se hace la burla, a esta clase de gente deberíamos publicarlos en las redes sociales,",otros problemas,baja
"solicitud cliente nunca llegó, muy mal q acepten las solicitudes y no lleguen",problemas con el viaje,alta
pre-registro #1753657343  #estoydispuestoalcambio  #quieroserconductor | cliente para trasladarme a varios sitios,mensaje de operador,baja
solicitud conductor el cliente no quiere pagar lo justo,problemas con el pago,inmediata
solicitud conductor el cliente no salió ni tampoco me respondió los sms,problemas con el viaje,alta
solicitud conductor no contesta teléfono,problemas con el viaje,alta
solicitud conductor no contesta el tengo,problemas con el viaje,alta
carrera shopping el coral,otros problemas,baja
solicitud cliente nunca llegó,problemas con el viaje,alta
solicitud conductor bien,otros problemas,baja
flete  carrera,otros problemas,baja
solicitud conductor nunca salió y puso q estaba todo,problemas con el viaje,alta
solicitud conductor el cliente esta x lado,otros problemas,baja
solicitud cliente cobro inadecuado,problemas con el pago,inmediata
urgente un taxi  por favor que si hay una unidad,otros problemas,baja
solicitud cliente no quiso llevar a la dirección indicada,problemas con el viaje,alta
solicitud conductor mala ubicación,problemas con la cuenta/app,alta
solicitud conductor no responde mando mensaje tampoco contesta,problemas con el viaje,alta
solicitud conductor se fue en otro taxi,problemas con el viaje,alta
pre-registro #43688065  #estoydispuestoalcambio  #quieroserconductor | servicio de taxi a clienteciudad:chiclayo |,mensaje de operador,baja
pre-registro #1104903743  #estoydispuestoalcambio  #quieroserconductor | portón negro,mensaje de operador,baja
pre-registro #1104903743  #estoydispuestoalcambio  #quieroserconductor | celi román,mensaje de operador,baja
solicitud conductor no contesta el cliente,problemas con el viaje,alta
solicitud conductor ya se fueeee,problemas con el viaje,alta
solicitud cliente llevó otro cliente  actitud desagradable  nunca llegó,problemas de comportamiento,urgente
